order_item_id,order_id,product_id,quantity,sales_amount,discount,profit
1,ORD007369,PROD00422,3,20396.31,0.0,8326.2
2,ORD007017,PROD00316,3,17736.69,0.0,5909.28
3,ORD001160,PROD00397,1,2674.64,0.1,523.72
4,ORD002234,PROD00107,3,5678.72,0.1,2193.05
5,ORD006407,PROD00009,2,8036.7,0.15,2865.59
6,ORD000100,PROD00291,1,2494.05,0.0,671.31
7,ORD003846,PROD00435,1,4530.77,0.1,1258.42
8,ORD001734,PROD00268,4,7360.76,0.0,2253.4
9,ORD008696,PROD00029,2,11967.28,0.1,4424.09
10,ORD003419,PROD00413,1,1040.28,0.0,288.07
11,ORD004338,PROD00230,5,28159.3,0.0,11961.75
12,ORD001742,PROD00395,5,15198.8,0.0,3870.7
13,ORD003620,PROD00362,2,4050.23,0.15,1043.8
14,ORD008076,PROD00400,1,3051.35,0.1,682.9
15,ORD001315,PROD00263,3,6502.28,0.1,1948.75
16,ORD000546,PROD00195,4,27426.96,0.0,12182.16
17,ORD004498,PROD00273,5,19230.06,0.15,7225.26
18,ORD001095,PROD00187,2,11875.92,0.0,5195.0
19,ORD000522,PROD00359,1,4534.42,0.0,1477.32
20,ORD007681,PROD00348,2,4335.59,0.05,1902.26
21,ORD005842,PROD00264,2,14052.14,0.0,5286.28
22,ORD000398,PROD00224,2,9712.76,0.0,2813.6
23,ORD002637,PROD00263,5,10235.06,0.15,3067.48
24,ORD001843,PROD00212,5,30362.38,0.05,11811.97
25,ORD000594,PROD00129,5,8319.83,0.1,2883.96
26,ORD003937,PROD00381,4,9050.46,0.05,3442.57
27,ORD000380,PROD00277,5,24841.4,0.0,4986.75
28,ORD000108,PROD00106,1,5958.51,0.0,1516.81
29,ORD009028,PROD00216,1,2253.62,0.15,842.47
30,ORD001015,PROD00298,1,6114.82,0.1,2478.07
31,ORD006390,PROD00472,4,25735.43,0.1,10928.81
32,ORD005598,PROD00458,1,4896.24,0.15,955.18
33,ORD006000,PROD00208,2,8453.59,0.05,3643.95
34,ORD005366,PROD00491,3,13195.07,0.05,4110.95
35,ORD003222,PROD00265,1,576.97,0.0,165.42
36,ORD000594,PROD00137,2,1177.01,0.15,426.61
37,ORD008310,PROD00186,4,17248.31,0.05,5648.51
38,ORD008996,PROD00185,1,1652.75,0.0,654.53
39,ORD007756,PROD00490,5,5314.81,0.1,2218.36
40,ORD002633,PROD00251,3,9936.64,0.05,3554.23
41,ORD005814,PROD00269,1,360.57,0.05,64.98
42,ORD003766,PROD00004,2,1767.44,0.0,373.34
43,ORD004698,PROD00179,5,16685.71,0.15,4962.73
44,ORD009319,PROD00456,2,264.49,0.1,99.47
45,ORD004466,PROD00395,4,10943.14,0.1,2786.9
46,ORD002812,PROD00342,1,292.4,0.1,64.46
47,ORD007795,PROD00274,3,3117.36,0.05,1283.1
48,ORD005400,PROD00389,4,24755.26,0.1,8636.94
49,ORD000095,PROD00169,5,25428.87,0.1,10012.55
50,ORD009061,PROD00460,5,20769.4,0.0,7421.2
51,ORD007422,PROD00199,2,7436.7,0.15,2952.88
52,ORD000137,PROD00079,5,34387.2,0.1,12321.05
53,ORD004509,PROD00018,5,27956.3,0.0,8328.85
54,ORD001551,PROD00261,3,4476.42,0.15,1852.06
55,ORD006055,PROD00335,5,34726.6,0.0,11029.1
56,ORD006611,PROD00139,3,13586.4,0.15,4854.23
57,ORD007010,PROD00119,1,526.34,0.15,168.11
58,ORD008595,PROD00251,1,2963.56,0.15,1060.03
59,ORD007749,PROD00306,5,5031.53,0.15,1845.69
60,ORD002919,PROD00098,3,3195.57,0.0,1194.9
61,ORD007159,PROD00495,1,3383.41,0.15,1315.48
62,ORD006080,PROD00260,4,6814.2,0.0,1748.72
63,ORD005454,PROD00446,1,3655.14,0.05,1475.63
64,ORD005808,PROD00259,1,721.47,0.05,294.6
65,ORD007484,PROD00297,1,1107.48,0.0,434.25
66,ORD003014,PROD00190,1,356.35,0.05,104.82
67,ORD007818,PROD00175,2,11400.83,0.15,4445.72
68,ORD000680,PROD00462,5,9201.05,0.0,2123.15
69,ORD005899,PROD00277,5,23599.33,0.05,4737.41
70,ORD009317,PROD00032,2,5216.23,0.15,1271.43
71,ORD001567,PROD00383,1,2106.82,0.05,787.82
72,ORD001634,PROD00372,1,8335.02,0.0,3598.28
73,ORD007618,PROD00312,2,9128.86,0.15,2505.53
74,ORD003238,PROD00348,4,9127.56,0.0,4004.76
75,ORD005239,PROD00287,3,9024.9,0.0,3884.37
76,ORD004788,PROD00009,5,23637.35,0.0,8428.2
77,ORD004072,PROD00437,4,1844.4,0.0,386.72
78,ORD002860,PROD00197,1,5786.01,0.15,2566.76
79,ORD000169,PROD00261,2,2984.28,0.15,1234.71
80,ORD007239,PROD00479,2,10755.78,0.0,3651.42
81,ORD008783,PROD00285,3,21049.01,0.1,8230.55
82,ORD005407,PROD00207,4,3229.39,0.05,840.33
83,ORD004859,PROD00346,5,38382.57,0.1,16522.97
84,ORD002264,PROD00031,2,10925.39,0.1,4377.69
85,ORD003562,PROD00456,4,499.6,0.15,187.88
86,ORD005508,PROD00266,1,589.36,0.0,210.38
87,ORD000197,PROD00329,3,5936.07,0.15,1181.36
88,ORD001502,PROD00209,5,25872.39,0.05,8316.87
89,ORD009037,PROD00344,3,21159.81,0.0,7733.4
90,ORD006812,PROD00178,1,5405.52,0.0,1389.75
91,ORD007103,PROD00476,2,8403.83,0.15,2457.54
92,ORD003302,PROD00053,5,20137.19,0.1,8136.09
93,ORD004021,PROD00478,2,10791.74,0.0,4666.48
94,ORD008303,PROD00206,5,14512.64,0.15,3640.89
95,ORD003957,PROD00320,4,5343.8,0.1,2075.58
96,ORD007243,PROD00355,1,519.16,0.05,228.67
97,ORD003062,PROD00180,1,245.35,0.15,45.35
98,ORD005607,PROD00090,5,20035.7,0.0,5418.65
99,ORD003898,PROD00014,4,13066.68,0.15,3216.13
100,ORD005978,PROD00216,5,12593.77,0.05,4707.92
101,ORD006041,PROD00308,4,12291.1,0.05,5318.78
102,ORD001857,PROD00160,3,19826.07,0.0,5675.76
103,ORD008673,PROD00252,2,12981.56,0.1,4574.09
104,ORD005965,PROD00055,3,15068.0,0.15,4147.12
105,ORD005689,PROD00410,3,3294.6,0.0,853.26
106,ORD004781,PROD00173,5,31281.4,0.0,6515.7
107,ORD000219,PROD00079,1,7641.6,0.0,2738.01
108,ORD004801,PROD00449,5,590.35,0.0,165.45
109,ORD000903,PROD00089,3,16596.9,0.1,7062.66
110,ORD003574,PROD00102,5,32547.75,0.0,12599.3
111,ORD002962,PROD00263,1,2408.25,0.0,721.76
112,ORD009051,PROD00323,4,3086.32,0.0,778.2
113,ORD005300,PROD00119,5,2941.3,0.05,939.46
114,ORD002015,PROD00055,4,23636.08,0.0,6505.28
115,ORD007214,PROD00428,1,5505.15,0.1,1487.46
116,ORD008916,PROD00157,3,9012.62,0.15,2600.57
117,ORD008032,PROD00439,3,14624.51,0.15,5550.15
118,ORD006282,PROD00333,2,9084.61,0.15,2478.45
119,ORD005369,PROD00243,3,11717.28,0.0,4688.97
120,ORD003456,PROD00049,1,6442.63,0.1,2607.32
121,ORD004583,PROD00230,5,23935.4,0.15,10167.49
122,ORD006544,PROD00487,1,3458.87,0.0,766.14
123,ORD005479,PROD00097,4,17882.32,0.0,3999.88
124,ORD008011,PROD00146,2,11559.48,0.0,3715.32
125,ORD009464,PROD00278,5,9994.13,0.15,3163.57
126,ORD008750,PROD00380,1,2594.4,0.15,745.84
127,ORD000089,PROD00240,3,2781.54,0.0,759.21
128,ORD004903,PROD00397,2,5943.64,0.0,1163.82
129,ORD001587,PROD00188,5,22005.06,0.15,8239.64
130,ORD009023,PROD00468,5,28306.4,0.1,8906.18
131,ORD000100,PROD00137,4,2769.44,0.0,1003.8
132,ORD008750,PROD00035,3,1390.95,0.15,396.17
133,ORD004096,PROD00491,2,8333.73,0.1,2596.39
134,ORD008266,PROD00258,2,10257.6,0.0,2364.9
135,ORD001877,PROD00344,1,6347.94,0.1,2320.02
136,ORD000123,PROD00482,4,6671.36,0.05,1938.08
137,ORD001367,PROD00197,4,23144.04,0.15,10267.05
138,ORD001334,PROD00340,2,14326.32,0.05,5170.64
139,ORD008007,PROD00346,4,34117.84,0.0,14687.08
140,ORD001173,PROD00492,1,1457.21,0.15,590.35
141,ORD007215,PROD00403,5,21260.3,0.0,6428.1
142,ORD001963,PROD00258,2,10257.6,0.0,2364.9
143,ORD006671,PROD00020,5,2078.08,0.15,745.07
144,ORD007636,PROD00154,3,6998.94,0.0,2480.88
145,ORD005664,PROD00043,5,15112.4,0.1,5983.29
146,ORD009060,PROD00490,4,4724.28,0.0,1971.88
147,ORD008505,PROD00174,5,15676.09,0.05,3591.38
148,ORD007461,PROD00237,2,1619.1,0.1,684.63
149,ORD007411,PROD00298,3,20382.72,0.0,8260.23
150,ORD003558,PROD00165,3,4848.62,0.15,1988.62
151,ORD009184,PROD00318,1,5790.94,0.05,2458.05
152,ORD003579,PROD00100,2,4133.85,0.05,1102.87
153,ORD005467,PROD00254,3,5600.92,0.15,1907.45
154,ORD007863,PROD00341,3,4219.1,0.15,1729.84
155,ORD008917,PROD00249,4,20383.27,0.15,7510.6
156,ORD007270,PROD00457,1,1029.37,0.05,325.03
157,ORD003008,PROD00092,1,5010.84,0.0,897.92
158,ORD004970,PROD00144,3,20418.95,0.15,8693.56
159,ORD000889,PROD00088,2,3043.21,0.1,1025.08
160,ORD000556,PROD00363,2,4541.44,0.05,1405.34
161,ORD000497,PROD00075,3,6636.51,0.0,2728.08
162,ORD008324,PROD00248,5,19007.36,0.15,4967.57
163,ORD007928,PROD00259,3,1936.57,0.15,790.76
164,ORD002495,PROD00463,5,23793.03,0.1,8266.46
165,ORD009144,PROD00455,4,21507.95,0.1,3995.06
166,ORD001884,PROD00131,5,30025.7,0.0,10098.55
167,ORD007070,PROD00300,4,26426.02,0.15,11054.96
168,ORD000251,PROD00046,3,18276.39,0.15,7317.43
169,ORD009118,PROD00286,3,17141.49,0.0,3984.45
170,ORD000051,PROD00496,1,859.45,0.0,361.69
171,ORD008752,PROD00385,3,2977.08,0.0,1252.29
172,ORD005902,PROD00323,2,1388.84,0.1,350.19
173,ORD004559,PROD00010,3,8913.75,0.0,3556.32
174,ORD007952,PROD00315,3,3663.48,0.15,1575.77
175,ORD009231,PROD00070,1,2367.79,0.15,679.38
176,ORD001659,PROD00324,4,6622.45,0.05,1168.27
177,ORD009484,PROD00184,2,8429.46,0.0,2882.94
178,ORD004614,PROD00468,4,25161.24,0.0,7916.6
179,ORD000843,PROD00312,4,20405.7,0.05,5600.59
180,ORD001673,PROD00459,4,8347.39,0.1,3043.84
181,ORD006693,PROD00428,4,23243.95,0.05,6280.37
182,ORD000618,PROD00027,4,21846.44,0.0,3714.28
183,ORD000506,PROD00108,2,2318.9,0.0,977.6
