order_id,customer_id,order_date,ship_date,ship_mode,region_id,order_status
ORD000001,CUST01653,2024-07-19,2024-07-21,Second Class,2,Delivered
ORD000002,CUST00680,2022-06-04,2022-06-09,First Class,6,Cancelled
ORD000003,CUST04993,2022-12-18,2022-12-25,First Class,7,Delivered
ORD000004,CUST01538,2022-11-05,2022-11-06,Same Day,6,Cancelled
ORD000005,CUST03864,2024-04-15,2024-04-17,Second Class,6,Delivered
ORD000006,CUST04718,2024-12-04,2024-12-06,Second Class,3,Cancelled
ORD000007,CUST03942,2022-09-20,2022-09-23,Standard Class,5,Delivered
ORD000008,CUST08103,2023-04-27,2023-04-28,First Class,6,Delivered
ORD000009,CUST04484,2022-05-15,2022-05-21,Second Class,1,Delivered
ORD000010,CUST04875,2023-08-03,2023-08-08,Second Class,6,Delivered
ORD000011,CUST06047,2024-09-26,2024-09-29,Standard Class,10,Delivered
ORD000012,CUST08446,2023-05-21,2023-05-23,Standard Class,10,Cancelled
ORD000013,CUST04342,2022-02-20,2022-02-22,First Class,1,Delivered
ORD000014,CUST00395,2023-02-19,2023-02-20,Standard Class,8,Cancelled
ORD000015,CUST09131,2022-07-17,2022-07-23,Second Class,4,Delivered
ORD000016,CUST08012,2023-05-10,2023-05-12,Same Day,4,Cancelled
ORD000017,CUST05623,2024-06-12,2024-06-15,First Class,8,Cancelled
ORD000018,CUST02086,2022-05-13,2022-05-17,Same Day,6,Cancelled
ORD000019,CUST05251,2023-04-07,2023-04-10,First Class,9,Delivered
ORD000020,CUST01595,2023-08-14,2023-08-18,Second Class,7,Cancelled
ORD000021,CUST05564,2024-05-26,2024-05-27,Second Class,10,Delivered
ORD000022,CUST04363,2022-09-19,2022-09-24,Second Class,8,Delivered
ORD000023,CUST05665,2022-10-12,2022-10-13,Standard Class,2,Delivered
ORD000024,CUST03647,2023-06-06,2023-06-13,Second Class,10,Delivered
ORD000025,CUST07743,2024-06-13,2024-06-15,First Class,9,Delivered
ORD000026,CUST07315,2023-08-13,2023-08-20,Same Day,4,Delivered
ORD000027,CUST02157,2022-05-24,2022-05-31,Standard Class,4,Cancelled
ORD000028,CUST09839,2022-08-18,2022-08-24,Standard Class,3,Cancelled
ORD000029,CUST03972,2023-12-11,2023-12-16,First Class,6,Cancelled
ORD000030,CUST02962,2022-06-29,2022-07-02,Standard Class,2,Cancelled
ORD000031,CUST00551,2023-01-18,2023-01-20,Same Day,6,Delivered
ORD000032,CUST04524,2022-04-04,2022-04-05,First Class,4,Cancelled
ORD000033,CUST06428,2023-05-30,2023-06-01,First Class,5,Delivered
ORD000034,CUST02628,2023-03-07,2023-03-14,Same Day,10,Delivered
ORD000035,CUST02561,2023-06-02,2023-06-04,Standard Class,1,Cancelled
ORD000036,CUST07233,2022-11-04,2022-11-06,Same Day,9,Delivered
ORD000037,CUST07567,2023-10-16,2023-10-18,Standard Class,9,Cancelled
ORD000038,CUST07904,2023-10-17,2023-10-23,Standard Class,1,Delivered
ORD000039,CUST06098,2023-01-21,2023-01-26,Second Class,1,Delivered
ORD000040,CUST00711,2022-03-31,2022-04-05,Standard Class,7,Delivered
ORD000041,CUST08430,2022-10-15,2022-10-18,Same Day,8,Cancelled
ORD000042,CUST06595,2023-11-09,2023-11-12,First Class,9,Cancelled
ORD000043,CUST02715,2022-09-04,2022-09-08,First Class,8,Delivered
ORD000044,CUST04493,2023-05-10,2023-05-13,Same Day,4,Delivered
ORD000045,CUST04703,2023-01-12,2023-01-18,Same Day,6,Cancelled
ORD000046,CUST01066,2024-12-18,2024-12-21,First Class,5,Cancelled
ORD000047,CUST01984,2023-02-16,2023-02-19,Same Day,6,Cancelled
ORD000048,CUST01114,2023-02-22,2023-02-25,First Class,2,Cancelled
ORD000049,CUST06335,2024-03-21,2024-03-26,First Class,10,Delivered
ORD000050,CUST06748,2024-04-16,2024-04-19,Standard Class,1,Delivered
ORD000051,CUST05158,2023-03-25,2023-03-29,Second Class,3,Cancelled
ORD000052,CUST04200,2023-07-12,2023-07-17,Second Class,2,Delivered
ORD000053,CUST02096,2022-11-24,2022-11-26,First Class,2,Delivered
ORD000054,CUST07864,2023-11-25,2023-11-28,First Class,4,Cancelled
ORD000055,CUST07941,2022-09-25,2022-09-27,Same Day,7,Delivered
ORD000056,CUST04666,2023-07-14,2023-07-15,Second Class,7,Delivered
ORD000057,CUST03030,2023-03-15,2023-03-16,Same Day,1,Delivered
ORD000058,CUST07974,2023-03-28,2023-04-04,Second Class,3,Delivered
ORD000059,CUST03282,2022-09-07,2022-09-08,First Class,3,Delivered
ORD000060,CUST02504,2023-01-25,2023-01-30,Second Class,10,Delivered
ORD000061,CUST05008,2022-03-09,2022-03-10,Same Day,3,Delivered
ORD000062,CUST07087,2022-02-22,2022-02-26,First Class,4,Delivered
ORD000063,CUST03481,2024-08-16,2024-08-21,First Class,8,Cancelled
ORD000064,CUST00394,2024-07-26,2024-08-01,Standard Class,8,Delivered
ORD000065,CUST06542,2023-09-29,2023-10-02,Same Day,7,Cancelled
ORD000066,CUST09208,2023-09-25,2023-10-01,Second Class,7,Delivered
ORD000067,CUST08488,2023-09-26,2023-09-28,Same Day,9,Delivered
ORD000068,CUST00269,2023-12-31,2024-01-06,First Class,6,Delivered
ORD000069,CUST06999,2023-11-16,2023-11-23,Second Class,10,Cancelled
ORD000070,CUST06232,2023-01-13,2023-01-17,Second Class,4,Delivered
ORD000071,CUST02603,2023-11-02,2023-11-06,Same Day,4,Delivered
ORD000072,CUST09925,2024-04-25,2024-04-30,Second Class,8,Delivered
ORD000073,CUST02898,2023-07-08,2023-07-12,Second Class,4,Delivered
ORD000074,CUST06819,2023-05-30,2023-06-03,Same Day,2,Delivered
ORD000075,CUST04887,2023-12-25,2023-12-26,Same Day,2,Delivered
ORD000076,CUST08409,2024-02-15,2024-02-22,Same Day,3,Cancelled
ORD000077,CUST08549,2024-11-30,2024-12-06,Same Day,10,Delivered
ORD000078,CUST09898,2023-07-11,2023-07-14,First Class,1,Delivered
ORD000079,CUST08522,2024-01-08,2024-01-09,Same Day,10,Delivered
ORD000080,CUST01421,2024-05-04,2024-05-11,Second Class,5,Delivered
ORD000081,CUST09199,2022-04-07,2022-04-14,Second Class,4,Delivered
